index,user_id,timestamp,text
7491,"b""222680396",2020-12-24 16:30:55,"@IndiHome Saya liat diweb itu juga. Coba cek dm min, ada diaplikasi apakah penawarannya benar?'"
7492,"b""1075673058931806208",2020-12-24 16:29:56,"@Rifqywp Hai Kak Rifqy, Rasya bantu informasikan untuk informasi perihal paket yang tersedia saat ini pastikan hanya dari website kami di https://t.co/rrcX4fkbQ4 . Terima kasih -Rasya'"
7493,"b""1075673058931806208",2020-12-24 16:31:02,"@HenChan46474167 Hai Kak Henchan, perihal DM-nya sudah Shas bantu respon ya mohon dicek kembali. Terima kasih -Shas'"
7494,"b""189410964",2020-12-24 16:30:31,@IndiHome Baik terima kasih'
7495,"b""1557934554",2020-12-24 16:29:18,"Hmm tendensius juga kalo gini\\n\\nBagaimana kalo comot beberapa anak indihome yg ga saling kenal, lalu suruh dia menerawang ada makhluk apa yg ada di ruangan tersebut https://t.co/tzooawOcZh'"
7496,"b""1314608171143426048",2020-12-24 16:29:16,@babunyayoongii @IndiHome masa qm tyda tawu kebanggaan Indonesia sih\\xf0\\x9f\\x98\\x92\\xf0\\x9f\\x91\\x8e\\xf0\\x9f\\x8f\\xbd'
7497,"b""1314608171143426048",2020-12-24 16:29:46,@camilaayuwdsr @IndiHome CECE SALAH APHAAA\\xf0\\x9f\\x98\\xad'
7498,"b""394524563",2020-12-24 16:29:46,sumpah gua cape bgt sm indihome kl lg ujan beginii'
7499,"b""704641594616512512",2020-12-24 16:27:29,@bendabumi hmm pasti indihome'
7500,"b""203863193",2020-12-24 16:28:22,RT @UseeTVcom: Libur akhir tahun akan semakin seru bareng IndiHome! Open All Channel untuk kamu periode 24 Desember 2020 - 2 Januari 2021!\\xe2\\x80\\xa6'
7501,"b""1075673058931806208",2020-12-24 16:13:20,"@arumpus13 Kak Arumpus, sekali lagi kami mohon maaf ya Kak atas ketidaknyamanan yang dialami. Perihal permintaannya dengan nomor tiket IN84 76 34 08 saat ini sudah dibantu rekan kami follow up untuk p"
7502,867675821149888512,2020-12-24 16:12:51,"b\'@IndiHome kenapa jaringan upload saya selalu lemot ya, jaringan 20mbps kalau mau kirim video jaringan nya jadi ngelag tiba"" jaringannya hilang, solusinya min.\'"
7503,"b""1261603317131567104",2020-12-24 16:12:47,@IndiHome goblok'
7504,"b""862860050",2020-12-24 16:12:07,"@IndiHome sore min, apakah indihome di wilayah kelapa dua depok masih bermasalah ?'"
7505,"b""344601410",2020-12-24 16:11:47,@hesti_ochan @FirstMediaCares @FirstMediaSby @e100ss @portalsurya Pak Pra juga habis komplen indihome...'
7506,"b""1324393864883392512",2020-12-24 16:11:48,@DollarKJM @IndiHome RARA PDOHHH\\xf0\\x9f\\x98\\x9d\\xf0\\x9f\\x98\\x9d\\xf0\\x9f\\x98\\x9d'
7507,"b""1326841291779444737",2020-12-24 16:11:58,ih ini masuk ga si? dari tadi ku nge tweet ga bisa mulu indihome anjg'
7508,"b""1075673058931806208",2020-12-24 16:10:42,"@JisyClavius Sobat, silakan informasikan nomor internet dan nomor HP aktifnya via DM ya Sobat. Guna Angga bantu tindaklanjuti. Terima kasih -Angga'"
7509,"b""115588582",2020-12-24 16:10:23,Dengarkan lagunya sekarang di Langit Musik dan IndiHome TV kamu ya!\\n\\n#LangitMusik\\n#MusikTanpaKuota\\n#SabyanGambus'
7510,"b""1231866501218439168",2020-12-24 16:10:10,@sweetoru untuk kali ini twitter yang serba salah bukan indihome\\xf0\\x9f\\x91\\x8e\\xf0\\x9f\\x8f\\xb
7511,"b""1075673058931806208",2020-12-24 16:09:36,"@xuxittei Halo Kak, perihal tersebut sudah Ariq bantu respon melalui DM ya Kak. Silahkan untuk dicek kembali DM nya. Terima kasih. -Ariq'"
7512,"b""1075673058931806208",2020-12-24 16:09:46,"@hoybubble Sore Sobat, untuk hal tersebut bisa Rasya bantu cek. Namun sebelumnya Rasya cek nomor internet Kakak belum ada nih di sistem kami, silakan informasikan nomor internet dan nomor Hp aktif-nya"
7513,"b""1075673058931806208",2020-12-24 16:09:48,@hoybubble eh orang lain. Terima Kasih -Rasya(2/2)'
7514,"b""1246388811212283904",2020-12-24 16:09:12,RT @TelkomIndonesia: Telkom Resmikan Command Center Demi Pastikan Pengalaman Terbaik Bagi Pelanggan IndiHome https://t.co/xfptxVrX6x'
7515,"b""1075673058931806208",2020-12-24 16:08:41,"@loeydust Hai Sobat, untuk hal tersebut bisa Rasya bantu cek. Namun sebelumnya Rasya cek nomor internet Kakak belum ada nih di sistem kami, silakan informasikan nomor internet dan nomor Hp aktif-nya v"
7516,"b""1075673058931806208",2020-12-24 16:07:44,"@dedsutanpamenan Siap Kak Dedy, Chae informasikan juga saat ini laporan Kakak sudah dalam penanganan di nomor tiket IN 85 01 58 13. Diupayakan segera solved dan bila diperlukan konfirmasi maka Kakak a"
7517,"b""1075673058931806208",2020-12-24 16:08:43,@loeydust h orang lain. Terima Kasih -Rasya(2/2)'
7518,"b""1324393864883392512",2020-12-24 16:07:42,@DollarKJM @IndiHome jahat brikan aku kuota\\xf0\\x9f\\x90\\xbd\\xf0\\x9f\\x90\\xbd'
7519,"b""1324393864883392512",2020-12-24 16:07:23,@wafakakha @IndiHome gue mau streaming muter mlu\\xf0\\x9f\\x98\\xab\\xf0\\x9f\\x99\\x8f'
7520,"b""1225335120778813440",2020-12-24 16:05:41,"@IndiHome saluran tv nya sedang gangguan apa gimana, dr semalam ga bs koneksi, mohon penjelasannya'"
7521,"b""1277198178345869312",2020-12-24 16:06:11,@tamanjiunn indihome ku lemot\\xf0\\x9f\\x98\\xad\\xe2\\x9c\\x8a pliss bengekk\\xf0\\x9f\\x98\\xad\\xf0\\x9f\\x98\\xad'
7522,"b""1298047342285746176",2020-12-24 16:06:24,@IndiHome Cek dm dong :)'
7523,"b""1040187956168802304",2020-12-24 16:06:13,@IndiHome @tigatitikputih cek dm min'
7524,"b""1279374390002475009",2020-12-24 16:05:36,@loeydust @IndiHome Iya anjrit kenapa ya gw mulung cendol aja susah bgt'
7525,"b""1075673058931806208",2020-12-24 16:05:36,"@tigatitikputih Sobat, perihal tersebut sudah Shas bantu dengan nomor tiket IN 85 05 47 15 perbaikan akan dilakukan dari sisi sentral terlebih dahulu dan jika ada hal yang perlu dikonfirmasi maka Soba"
7526,"b""1075673058931806208",2020-12-24 16:05:20,"@rflccdepsjh Kak Febrian, mengenai koneksi internet Kakak guna pengecekan lebih lanjut berkenan untuk menginformasikan jumlah tagihan terakhir dan tempat pembayaran melalui DM ya. Ditunggu konfirmasin"
7527,"b""1075673058931806208",2020-12-24 16:05:38,@tigatitikputih jutnya. Terima kasih  -Shas(2/2)'
7528,"b""1309665902464385024",2020-12-24 16:05:35,@loeydust @IndiHome lgsng di tag gt wkwkwk'
7529,"b""526997065",2020-12-24 16:04:47,@ellenaaaev @IndiHome Pantun macam apanihh'
7530,"b""1075673058931806208",2020-12-24 16:04:47,"@riverland1 Oke Kak Edi, sudah dibantu respon kembali oleh rekan kami ya, semoga segera teratasi Kak dan ditunggu kabar baiknya. -Tari'"
7531,"b""1075673058931806208",2020-12-24 16:04:37,"@pobodicanio Kak Dicanio, terima kasih atas apresiasi yang diberikan. Selamat menikmati layanan IndiHomenya ya Kak. Sehat selalu dan tetap jaga protokol kesehatan. \\n -Bilah'"
7532,"b""1331810815876366337",2020-12-24 16:04:27,@Queen_B4ck Km anak indihome yah'
7533,"b""1324393864883392512",2020-12-24 16:03:46,kesal dgnmu @IndiHome lemot bgtt kt kemusuhan\\xf0\\x9f\\x91\\xaf\\xe2\\x80\\x8d\\xe2\\x99\\x80\\xef\\xb8\\x8f'
7534,"b""1075673058931806208",2020-12-24 16:02:58,"@Mayaarvt Kak Maya, perihal DM-nya sudah rekan kami bantu respon ya Kak. Silakan untuk dicek kembali. Terima kasih -Angga'"
7535,"b""332017868",2020-12-24 16:03:45,@IndiHome Bisa dijelasin alasan bisa macetnya kenapa? Apa karena banyak yg mudik jadi macet? Orang awam ga ngerti maksudnya min \\xf0\\x9f\\x98\\xa9\\xf0\\x9f\\x98\\xa7 https://t.co/pjte7FOn6K'
